bench,normal_cycles,adaptive_cycles,cycle_reduction_pct,normal_ipc,adaptive_ipc,ipc_improvement_pct,normal_energy,adaptive_energy,energy_reduction_pct,adaptive_reconfigs,adaptive_reconfig_penalty
arithmetic_heavy,30,30,0.00,0.7333,0.7333,0.00,176,176,0.00,0,0
branch_heavy,128,122,4.69,0.5781,0.6066,4.93,678,655,3.39,1,4
coremark_toy,162,168,-3.70,0.6975,0.6726,-3.57,957,965,-0.84,2,8
dhrystone_toy,133,133,0.00,0.7970,0.7970,0.00,825,820,0.61,1,4
dsp_fir_codegen,192,188,2.08,0.6510,0.6649,2.14,1106,1074,2.89,2,8
load_use_heavy,205,186,9.27,0.6244,0.6882,10.22,1125,1063,5.51,1,4
memory_heavy,231,197,14.72,0.4329,0.5076,17.26,1231,1071,13.00,3,7
mixed_control,131,122,6.87,0.5802,0.6230,7.38,747,693,7.23,1,3
pid_control_codegen,192,193,-0.52,0.7135,0.7098,-0.52,1144,1133,0.96,2,8
tiny_fir,159,153,3.77,0.5660,0.5882,3.92,883,833,5.66,2,10
