sweep_tag,obs_window,min_residency,threshold_profile,seed,bench,baseline_mode,adaptive_cycles,baseline_cycles,cycle_reduction_pct,adaptive_wins_cycles,adaptive_ipc,baseline_ipc,ipc_improvement_pct,adaptive_energy,baseline_energy,energy_reduction_pct
w16_r8_thtight_seed0,16,8,tight,0,pid_control_codegen,fixed_memory,213,178,-19.66,False,0.6432,0.7697,-16.43,1175,1080,-8.80
w16_r8_thtight_seed0,16,8,tight,0,pid_control_codegen,fixed_hazard,213,180,-18.33,False,0.6432,0.7611,-15.49,1175,1114,-5.48
w16_r8_thtight_seed0,16,8,tight,0,pid_control_codegen,fixed_low_power,213,192,-10.94,False,0.6432,0.7135,-9.85,1175,760,-54.61
w16_r8_thtight_seed0,16,8,tight,0,tiny_fir,static_normal,169,159,-6.29,False,0.5325,0.5660,-5.92,881,883,0.23
w16_r8_thtight_seed0,16,8,tight,0,tiny_fir,fixed_branch,169,152,-11.18,False,0.5325,0.5921,-10.07,881,862,-2.20
w16_r8_thtight_seed0,16,8,tight,0,tiny_fir,fixed_memory,169,127,-33.07,False,0.5325,0.7087,-24.86,881,739,-19.22
w16_r8_thtight_seed0,16,8,tight,0,tiny_fir,fixed_hazard,169,143,-18.18,False,0.5325,0.6294,-15.40,881,851,-3.53
w16_r8_thtight_seed0,16,8,tight,0,tiny_fir,fixed_low_power,169,159,-6.29,False,0.5325,0.5660,-5.92,881,565,-55.93
w16_r8_thmedium_seed0,16,8,medium,0,arithmetic_heavy,static_normal,30,30,0.00,False,0.7333,0.7333,0.00,176,176,0.00
w16_r8_thmedium_seed0,16,8,medium,0,arithmetic_heavy,fixed_branch,30,30,0.00,False,0.7333,0.7333,0.00,176,176,0.00
w16_r8_thmedium_seed0,16,8,medium,0,arithmetic_heavy,fixed_memory,30,30,0.00,False,0.7333,0.7333,0.00,176,176,0.00
w16_r8_thmedium_seed0,16,8,medium,0,arithmetic_heavy,fixed_hazard,30,29,-3.45,False,0.7333,0.7586,-3.34,176,173,-1.73
w16_r8_thmedium_seed0,16,8,medium,0,arithmetic_heavy,fixed_low_power,30,30,0.00,False,0.7333,0.7333,0.00,176,116,-51.72
w16_r8_thmedium_seed0,16,8,medium,0,branch_heavy,static_normal,128,128,0.00,False,0.5781,0.5781,0.00,678,678,0.00
w16_r8_thmedium_seed0,16,8,medium,0,branch_heavy,fixed_branch,128,105,-21.90,False,0.5781,0.7048,-17.98,678,609,-11.33
w16_r8_thmedium_seed0,16,8,medium,0,branch_heavy,fixed_memory,128,128,0.00,False,0.5781,0.5781,0.00,678,678,0.00
w16_r8_thmedium_seed0,16,8,medium,0,branch_heavy,fixed_hazard,128,127,-0.79,False,0.5781,0.5827,-0.79,678,675,-0.44
w16_r8_thmedium_seed0,16,8,medium,0,branch_heavy,fixed_low_power,128,128,0.00,False,0.5781,0.5781,0.00,678,422,-60.66
w16_r8_thmedium_seed0,16,8,medium,0,coremark_toy,static_normal,162,162,0.00,False,0.6975,0.6975,0.00,957,957,0.00
w16_r8_thmedium_seed0,16,8,medium,0,coremark_toy,fixed_branch,162,151,-7.28,False,0.6975,0.7483,-6.79,957,913,-4.82
w16_r8_thmedium_seed0,16,8,medium,0,coremark_toy,fixed_memory,162,154,-5.19,False,0.6975,0.7338,-4.95,957,923,-3.68
w16_r8_thmedium_seed0,16,8,medium,0,coremark_toy,fixed_hazard,162,150,-8.00,False,0.6975,0.7533,-7.41,957,927,-3.24
w16_r8_thmedium_seed0,16,8,medium,0,coremark_toy,fixed_low_power,162,162,0.00,False,0.6975,0.6975,0.00,957,633,-51.18
w16_r8_thmedium_seed0,16,8,medium,0,dhrystone_toy,static_normal,133,133,0.00,False,0.7970,0.7970,0.00,825,825,0.00
w16_r8_thmedium_seed0,16,8,medium,0,dhrystone_toy,fixed_branch,133,124,-7.26,False,0.7970,0.8548,-6.76,825,798,-3.38
w16_r8_thmedium_seed0,16,8,medium,0,dhrystone_toy,fixed_memory,133,131,-1.53,False,0.7970,0.8092,-1.51,825,815,-1.23
w16_r8_thmedium_seed0,16,8,medium,0,dhrystone_toy,fixed_hazard,133,133,0.00,False,0.7970,0.7970,0.00,825,825,0.00
w16_r8_thmedium_seed0,16,8,medium,0,dhrystone_toy,fixed_low_power,133,133,0.00,False,0.7970,0.7970,0.00,825,559,-47.58
w16_r8_thmedium_seed0,16,8,medium,0,dsp_fir_codegen,static_normal,192,192,0.00,False,0.6510,0.6510,0.00,1106,1106,0.00
w16_r8_thmedium_seed0,16,8,medium,0,dsp_fir_codegen,fixed_branch,192,185,-3.78,False,0.6510,0.6757,-3.66,1106,1085,-1.94
w16_r8_thmedium_seed0,16,8,medium,0,dsp_fir_codegen,fixed_memory,192,170,-12.94,False,0.6510,0.7353,-11.46,1106,1008,-9.72
w16_r8_thmedium_seed0,16,8,medium,0,dsp_fir_codegen,fixed_hazard,192,168,-14.29,False,0.6510,0.7440,-12.50,1106,1046,-5.74
w16_r8_thmedium_seed0,16,8,medium,0,dsp_fir_codegen,fixed_low_power,192,192,0.00,False,0.6510,0.6510,0.00,1106,722,-53.19
w16_r8_thmedium_seed0,16,8,medium,0,load_use_heavy,static_normal,205,205,0.00,False,0.6244,0.6244,0.00,1125,1125,0.00
w16_r8_thmedium_seed0,16,8,medium,0,load_use_heavy,fixed_branch,205,188,-9.04,False,0.6244,0.6809,-8.30,1125,1074,-4.75
w16_r8_thmedium_seed0,16,8,medium,0,load_use_heavy,fixed_memory,205,205,0.00,False,0.6244,0.6244,0.00,1125,1125,0.00
w16_r8_thmedium_seed0,16,8,medium,0,load_use_heavy,fixed_hazard,205,169,-21.30,False,0.6244,0.7574,-17.56,1125,1017,-10.62
w16_r8_thmedium_seed0,16,8,medium,0,load_use_heavy,fixed_low_power,205,205,0.00,False,0.6244,0.6244,0.00,1125,715,-57.34
w16_r8_thmedium_seed0,16,8,medium,0,memory_heavy,static_normal,231,231,0.00,False,0.4329,0.4329,0.00,1231,1231,0.00
w16_r8_thmedium_seed0,16,8,medium,0,memory_heavy,fixed_branch,231,218,-5.96,False,0.4329,0.4587,-5.62,1231,1192,-3.27
w16_r8_thmedium_seed0,16,8,medium,0,memory_heavy,fixed_memory,231,147,-57.14,False,0.4329,0.6803,-36.37,1231,839,-46.72
w16_r8_thmedium_seed0,16,8,medium,0,memory_heavy,fixed_hazard,231,217,-6.45,False,0.4329,0.4608,-6.05,1231,1217,-1.15
w16_r8_thmedium_seed0,16,8,medium,0,memory_heavy,fixed_low_power,231,231,0.00,False,0.4329,0.4329,0.00,1231,769,-60.08
w16_r8_thmedium_seed0,16,8,medium,0,mixed_control,static_normal,131,131,0.00,False,0.5802,0.5802,0.00,747,747,0.00
w16_r8_thmedium_seed0,16,8,medium,0,mixed_control,fixed_branch,131,120,-9.17,False,0.5802,0.6333,-8.38,747,714,-4.62
w16_r8_thmedium_seed0,16,8,medium,0,mixed_control,fixed_memory,131,105,-24.76,False,0.5802,0.7238,-19.84,747,617,-21.07
w16_r8_thmedium_seed0,16,8,medium,0,mixed_control,fixed_hazard,131,131,0.00,False,0.5802,0.5802,0.00,747,747,0.00
